store code	id	price	quantity	availability
woonleng	18598	8.00 SGD	999	in stock 
woonleng	21338	155.00 SGD	999	in stock
woonleng	14607	65.00 SGD	999	in stock
woonleng	16736	12.00 SGD	999	in stock
woonleng	20974	21.00 SGD	999	in stock
woonleng	14793	50.90 SGD	999	in stock
woonleng	10361	98.00 SGD	999	in stock
woonleng	11891	32.00 SGD	999	in stock
woonleng	11239	88.00 SGD	999	in stock
woonleng	26848	400.00 SGD	999	in stock
woonleng	10947	28.00 SGD	999	in stock
woonleng	21176	168.00 SGD	999	in stock
woonleng	10826	10.50 SGD	999	in stock
woonleng	6320	200.00 SGD	999	in stock
woonleng	19341	96.00 SGD	999	in stock
woonleng	17386	60.00 SGD	999	in stock
woonleng	11966	48.00 SGD	999	in stock
woonleng	12199	280.00 SGD	999	in stock
woonleng	15597	65.00 SGD	999	in stock
woonleng	14139	65.00 SGD	999	in stock
woonleng	22029	8.00 SGD	999	in stock
woonleng	15271	45.00 SGD	999	in stock
woonleng	10075	15.00 SGD	999	in stock
woonleng	11382	6.70 SGD	999	in stock
woonleng	9330	3.00 SGD	999	in stock
woonleng	12778	85.00 SGD	999	in stock
woonleng	16321	35.00 SGD	999	in stock
woonleng	20523	40.00 SGD	999	in stock
woonleng	18792	85.00 SGD	999	in stock
woonleng	18319	45.00 SGD	999	in stock
woonleng	15153	42.80 SGD	999	in stock
woonleng	11519	35.00 SGD	999	in stock
woonleng	10916	13.00 SGD	999	in stock
woonleng	15150	25.00 SGD	999	in stock
woonleng	21966	50.00 SGD	999	in stock
woonleng	15136	25.00 SGD	999	in stock
woonleng	15147	22.50 SGD	999	in stock
woonleng	26411	68.00 SGD	999	in stock
woonleng	15222	58.00 SGD	999	in stock
woonleng	15709	16.00 SGD	999	in stock
woonleng	15615	16.00 SGD	999	in stock
woonleng	26403	35.00 SGD	999	in stock
woonleng	19632	18.80 SGD	999	in stock
woonleng	20084	45.00 SGD	999	in stock
woonleng	15499	6.00 SGD	999	in stock
woonleng	18661	8.00 SGD	999	in stock
woonleng	20520	40.00 SGD	999	in stock
woonleng	20027	65.00 SGD	999	in stock
woonleng	10955	25.00 SGD	999	in stock
woonleng	10741	85.00 SGD	999	in stock
woonleng	11793	20.00 SGD	999	in stock
woonleng	11886	32.00 SGD	999	in stock
woonleng	15232	9.00 SGD	999	in stock
woonleng	18713	35.00 SGD	999	in stock
woonleng	13899	28.80 SGD	999	in stock
woonleng	13561	18.00 SGD	999	in stock
